text,processed_text,target
i d have responded if i were going,i d have responded if i were going,neutral
sooo sad,sooo sad,negative
bullying me,bullying me,negative
leave me alone,leave me alone,negative
sons of,sons of,negative
some shameless plugging for the best rangers forum on earth,some shameless plugging for the best rangers forum on earth,neutral
fun,fun,positive
soooo high,soooo high,neutral
both of you,both of you,neutral
wow you just became cooler,wow you just became cooler,positive
as much as i love to be hopeful i reckon the chances are minimal i m never going to get my cake and stuff,as much as i love to be hopeful i reckon the chances are minimal i m never going to get my cake and stuff,neutral
like,like,positive
dangerously,dangerously,negative
lost,lost,negative
test test from the lg env,test test from the lg env,neutral
uh oh i am sunburned,uh oh i am sunburned,negative
sigh,sigh,negative
sick,sick,negative
onna,onna,negative
hes just not that into you,hes just not that into you,neutral
oh marly i m so sorry i hope you find her soon,oh marly i m so sorry i hope you find her soon,neutral
interesting,interesting,positive
is cleaning the house for her family who is comming later today,is cleaning the house for her family who is comming later today,neutral
got to restart my computer i thought win was supposed to put an end to the constant rebootiness,got to restart my computer i thought win was supposed to put an end to the constant rebootiness,neutral
see wat i mean bout follw friidays it s called lose fllowers friday smh,see wat i mean bout follw friidays it s called lose fllowers friday smh,neutral
the free fillin app on my ipod is fun i am addicted,the free fillin app on my ipod is fun i am addicted,positive
i m sorry,i m sorry,negative
internet,internet,negative
fun,fun,positive
power back up not working too,power back up not working too,negative
quite heavenly,quite heavenly,positive
hope,hope,positive
well so much for being unhappy for about minute,well so much for being unhappy for about minute,negative
funny,funny,positive
ahhh i slept through the game i m going to try my best to watch tomorrow though i hope we play army,ahhh i slept through the game i m going to try my best to watch tomorrow though i hope we play army,neutral
that is it its the end tears for fears,that is it its the end tears for fears,neutral
miss,miss,negative
just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,just in case you wonder we are really busy today and this coming with with adding tons of new blogs and updates stay tuned,neutral
soooooo sleeeeepy,soooooo sleeeeepy,negative
a little happy fo,a little happy fo,positive
car not happy big big dent in boot hoping they are not going to write it off crossing fingers and waiting,car not happy big big dent in boot hoping they are not going to write it off crossing fingers and waiting,neutral
avid fan of,avid fan of,positive
mayday,mayday,neutral
ratt rocked nashville tonite one thing sucked no encore like in the s they still have a fun show pearcy has that hott bad boy look,ratt rocked nashville tonite one thing sucked no encore like in the s they still have a fun show pearcy has that hott bad boy look,neutral
i love to,i love to,positive
the girl in the hair salon asked me i trim your eyebrows how old do i feel,the girl in the hair salon asked me i trim your eyebrows how old do i feel,neutral
suckkkkkk,suckkkkkk,negative
visiting my friendster and facebook,visiting my friendster and facebook,neutral
do not like go,do not like go,negative
d i m not thrilled at all with mine,d i m not thrilled at all with mine,negative
then you should check out and connect with other tweeple who hate twitter,then you should check out and connect with other tweeple who hate twitter,neutral
also bored at school its my third freelesson freistunde,also bored at school its my third freelesson freistunde,neutral
hm both of us i guess,hm both of us i guess,neutral
it is you have dissappointed me that past few days,it is you have dissappointed me that past few days,negative
romance zero is funny,romance zero is funny,positive
i d rather do the early run but i am a morning runner,i d rather do the early run but i am a morning runner,neutral
hurts,hurts,negative
will be back later,will be back later,neutral
torn ace of hearts,torn ace of hearts,negative
what fun are you speaking of,what fun are you speaking of,neutral
i lost all my friends i m alone and sleepy,i lost all my friends i m alone and sleepy,negative
haha yes,haha yes,neutral
i give in to easily,i give in to easily,negative
favorite,favorite,positive
jealous,jealous,negative
is at a photoshoot,is at a photoshoot,neutral
s awesome,s awesome,positive
yay playing a show tonight boo it s going to soggy and i m at work right before playing,yay playing a show tonight boo it s going to soggy and i m at work right before playing,neutral
chilliin,chilliin,positive
if you know such agent do let me know,if you know such agent do let me know,neutral
i still smell of smoke kitchenfire,i still smell of smoke kitchenfire,neutral
better,better,positive
anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb blog etc,anyone have an extra keane ticket i promise to buy you a drink and take rad pics for your fb blog etc,neutral
can ride one you can catch one but its not summer til you pop open one,can ride one you can catch one but its not summer til you pop open one,neutral
she is good so yea i kno i asked her yesterday when we were at tha hospital if she talked to you and she said no,she is good so yea i kno i asked her yesterday when we were at tha hospital if she talked to you and she said no,neutral
ok i m out of here for now just popped in to say hi and check on things i ll probably head to the guttah later on tonight,ok i m out of here for now just popped in to say hi and check on things i ll probably head to the guttah later on tonight,neutral
baddd,baddd,negative
my sources say no,my sources say no,neutral
i am sooo tired,i am sooo tired,negative
hey you change your twitter account and you didn t even tell me,hey you change your twitter account and you didn t even tell me,neutral
thank yyyyyyyyyoooooooooouuuuu,thank yyyyyyyyyoooooooooouuuuu,positive
lucky,lucky,positive
fell asleep waiting for my ride,fell asleep waiting for my ride,neutral
sick,sick,negative
sorry guys,sorry guys,negative
happy star wars day everyone and enjoy the holiday uk,happy star wars day everyone and enjoy the holiday uk,positive
miles from you i m in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,miles from you i m in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,neutral
his snoring is so annoying n it keeps me from sleeping like right now lol but i honestly wud miss it if it eva left i love him,his snoring is so annoying n it keeps me from sleeping like right now lol but i honestly wud miss it if it eva left i love him,neutral
i miss you bby,i miss you bby,negative
cool,cool,positive
love it there,love it there,positive
yes and it lasts way past my bedtime,yes and it lasts way past my bedtime,neutral
hi how are you doing just joined twitter,hi how are you doing just joined twitter,neutral
tired,tired,negative
eating ice cream and then getting ready for graduation,eating ice cream and then getting ready for graduation,neutral
happy mothers day to all you mums out there,happy mothers day to all you mums out there,positive
freaked,freaked,negative
unfortunately,unfortunately,negative
going to read a story bout adam lambert online then bed nighty night,going to read a story bout adam lambert online then bed nighty night,neutral
best,best,positive
pretty,pretty,positive
certainly not cheers than huh,certainly not cheers than huh,neutral
horrible,horrible,negative
busy,busy,negative
awesome,awesome,positive
at least i get to watch over time let s go pens,at least i get to watch over time let s go pens,neutral
cool i wear black most of the time when i go out,cool i wear black most of the time when i go out,neutral
thanks,thanks,positive
safe,safe,positive
i wish i was allowed to go,i wish i was allowed to go,positive
if you have a friendster add me my email adress add me add me,if you have a friendster add me my email adress add me add me,neutral
has tickets,has tickets,neutral
thank you,thank you,positive
acsm it s unfathomable i think the other one and the is one that should be kept to the comfort of our bedrooms yes,acsm it s unfathomable i think the other one and the is one that should be kept to the comfort of our bedrooms yes,neutral
i love my,i love my,positive
i don t feel confident,i don t feel confident,negative
sad,sad,negative
hahaa your awesomee,hahaa your awesomee,positive
awesomeeeee,awesomeeeee,positive
i hate fallout it keeps making me jump i m also low on health money ammo and food don t worry i ll get through it,i hate fallout it keeps making me jump i m also low on health money ammo and food don t worry i ll get through it,neutral
i had it on my itunes but then i lost all my songs,i had it on my itunes but then i lost all my songs,neutral
what s with the gloomy weather the sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha,what s with the gloomy weather the sun must be too tired to come out and play heading to victoria gardens for some impulse buys haha,neutral
not looking forward,not looking forward,negative
poor you,poor you,negative
not well,not well,negative
not a prob,not a prob,positive
at dads watching some mtv and am going on sims in a minutee,at dads watching some mtv and am going on sims in a minutee,neutral
absolutely,absolutely,neutral
what s the matter chickadee,what s the matter chickadee,neutral
y adore,y adore,positive
good,good,positive
i love him too,i love him too,positive
painful,painful,negative
sad,sad,negative
e nice,e nice,positive
i wish,i wish,positive
namaskar namaste r both the same marathi people say namaskar its a marathi word should i naaaah,namaskar namaste r both the same marathi people say namaskar its a marathi word should i naaaah,neutral
congrats i cuss like that in a matter of minutes but didn t know until now there is a reward for it,congrats i cuss like that in a matter of minutes but didn t know until now there is a reward for it,neutral
humous and dorito s oh yes,humous and dorito s oh yes,neutral
missed all the awesome weather,missed all the awesome weather,negative
today is going to be a normal day for i hope we had a group of pilots from a large airline come in last night so it was too much drink,today is going to be a normal day for i hope we had a group of pilots from a large airline come in last night so it was too much drink,neutral
terrible,terrible,negative
unfortunatley,unfortunatley,negative
that sucks though,that sucks though,negative
hate fighting,hate fighting,negative
i watched that too i did not want her to win but she put up a good fight lol,i watched that too i did not want her to win but she put up a good fight lol,neutral
sprite tastes like sore throat,sprite tastes like sore throat,negative
just came th in cross country and beat dumbo,just came th in cross country and beat dumbo,neutral
enjoyable,enjoyable,positive
,,positive
tomorrow valeria s lunch going to get my hair done but i am arraving late got my cousins babtizm or whatever you spell it,tomorrow valeria s lunch going to get my hair done but i am arraving late got my cousins babtizm or whatever you spell it,neutral
goooooddd morning tweets,goooooddd morning tweets,positive
hate,hate,negative
fine,fine,positive
i don t like the other ones,i don t like the other ones,negative
mmmmmmmm it in the morning,mmmmmmmm it in the morning,neutral
me neither,me neither,neutral
has about hours work to do on a sunday boo i will find time for a two hour lunchbreak though yeah,has about hours work to do on a sunday boo i will find time for a two hour lunchbreak though yeah,neutral
bugger forgot i still have washing in my machine,bugger forgot i still have washing in my machine,negative
sending love blessings healing thoughts to you family peace,sending love blessings healing thoughts to you family peace,positive
bad,bad,negative
ah yes i know that feeling,ah yes i know that feeling,neutral
night of the cookers with my dad,night of the cookers with my dad,neutral
brutal,brutal,negative
nope i am in coquitlam,nope i am in coquitlam,neutral
boring,boring,negative
p sounds like fun,p sounds like fun,positive
big booming thunder storm almost here maybe we can all go home early ah probably not,big booming thunder storm almost here maybe we can all go home early ah probably not,neutral
great,great,positive
excited,excited,positive
good morning,good morning,positive
its the best show ever,its the best show ever,positive
messed,messed,negative
i think iv hurt my tooth and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha l,i think iv hurt my tooth and eilish and cassie are having a drawing competiton to draw cookies and pineapples haha l,neutral
i want to know when the auditions are mander text or reply please,i want to know when the auditions are mander text or reply please,neutral
not the secret namerebecca please,not the secret namerebecca please,negative
miss,miss,negative
i need to get my computer fixed,i need to get my computer fixed,neutral
illness,illness,negative
all the cool people i want to find for following today are english and i guess the english don t tweet,all the cool people i want to find for following today are english and i guess the english don t tweet,neutral
no sir i would have put honey but i don t have any,no sir i would have put honey but i don t have any,neutral
i totally loved it,i totally loved it,positive
i you you helped me thru the hrdest time of my life,i you you helped me thru the hrdest time of my life,positive
sad,sad,negative
finally got a call for marriage counseling days late,finally got a call for marriage counseling days late,neutral
ok then,ok then,neutral
why baby,why baby,neutral
sick,sick,negative
we re having an impromptu pool party except i don t know how to swim so i can t get in,we re having an impromptu pool party except i don t know how to swim so i can t get in,neutral
oww,oww,negative
happy year,happy year,positive
goooooooooooood morrrrrrrrning,goooooooooooood morrrrrrrrning,positive
phew will make a note in case anyone else runs into the same issuei,phew will make a note in case anyone else runs into the same issuei,neutral
what about me i vote every day for you,what about me i vote every day for you,negative
this diet is killing me,this diet is killing me,negative
i talk to you,i talk to you,neutral
bored,bored,negative
e fun,e fun,positive
so far so good but i did sleep for most of those hours getting a bit twitchy now,so far so good but i did sleep for most of those hours getting a bit twitchy now,neutral
what s with twatter lately either i can t get on or the replies don t turn up,what s with twatter lately either i can t get on or the replies don t turn up,neutral
lost my voice,lost my voice,negative
hate,hate,negative
i ve heard this fall i m waiting too,i ve heard this fall i m waiting too,neutral
more nightmares huggles,more nightmares huggles,neutral
i am such a creeper i feel disappointed because of it my cyberstalking skills the internet no more privacy,i am such a creeper i feel disappointed because of it my cyberstalking skills the internet no more privacy,negative
headache,headache,negative
happy,happy,positive
grabbing coffee from then making mom breakfast,grabbing coffee from then making mom breakfast,neutral
going to have fun,going to have fun,positive
thanks before the major chop,thanks before the major chop,neutral
d thank you,d thank you,positive
just got up and updated my ipod,just got up and updated my ipod,neutral
hahaha,hahaha,positive
crush,crush,positive
saw james carville in the store today his head is really that bald,saw james carville in the store today his head is really that bald,neutral
yellow for,yellow for,neutral
which means you re just going to have to come back to vancouver and have it our way hahah,which means you re just going to have to come back to vancouver and have it our way hahah,neutral
feeling smooth,feeling smooth,positive
ew traffic,ew traffic,negative
downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol,downloading songs while trying to sneak a lil homework in too which should be my main priority not songs lol,neutral
your not alone i need coffee too,your not alone i need coffee too,neutral
sounds like me,sounds like me,neutral
bad day the day you realize what mess you ve put me through will be one of the happiest days of my life,bad day the day you realize what mess you ve put me through will be one of the happiest days of my life,neutral
i hate not having a bike,i hate not having a bike,negative
,,neutral
this is worse than taxes,this is worse than taxes,negative
jonas brothers live to party it s rocking so hard,jonas brothers live to party it s rocking so hard,positive
happy,happy,positive
would love to test it though,would love to test it though,positive
fun night,fun night,positive
the exception for a short dude larenz fineass tate yum,the exception for a short dude larenz fineass tate yum,neutral
i thought wolverine was awesome,i thought wolverine was awesome,positive
hopefully,hopefully,positive
yes i work to,yes i work to,neutral
hmmm maybe that s what they meant they eluded to something brand new but you know how the media is,hmmm maybe that s what they meant they eluded to something brand new but you know how the media is,neutral
done at the spa now meeting vic for some late lunch,done at the spa now meeting vic for some late lunch,neutral
happy,happy,positive
always have wanted to go to oz,always have wanted to go to oz,neutral
thanks,thanks,neutral
love,love,positive
that s why i need to be there,that s why i need to be there,positive
okay so i m dedicating my th tweet to the fact that i m going to the apple store because there is a huge crack on the glass screen,okay so i m dedicating my th tweet to the fact that i m going to the apple store because there is a huge crack on the glass screen,neutral
if only we could ever actually be allowed to stay here and do that,if only we could ever actually be allowed to stay here and do that,neutral
let me know how that turns out,let me know how that turns out,neutral
was that sass i detect as long as it isn t back sass haha,was that sass i detect as long as it isn t back sass haha,neutral
ahaha,ahaha,positive
sports bar shatranjanpoli rest ph all sports bar andheri w do not know whether that helps google ki jai ho,sports bar shatranjanpoli rest ph all sports bar andheri w do not know whether that helps google ki jai ho,neutral
i m not sleeping at all un,i m not sleeping at all un,negative
seriously,seriously,negative
i live for pain bring it on,i live for pain bring it on,neutral
okay i m out for a while back later,okay i m out for a while back later,neutral
g what is this powerblog challenge you keep talking about i m a newbie followe,g what is this powerblog challenge you keep talking about i m a newbie followe,neutral
died,died,positive
waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time,waiting for tish to get off got to drive my moms crv to pick her up all my myself and duckie first time,neutral
not going to well,not going to well,negative
going to shower because i don t want to smell at school tomorrow,going to shower because i don t want to smell at school tomorrow,neutral
sigh you know i am,sigh you know i am,neutral
hopefully,hopefully,positive
here are free twitter tools will get you followers,here are free twitter tools will get you followers,neutral
just got home from work and is chugging down a big bottle of apple juice,just got home from work and is chugging down a big bottle of apple juice,neutral
g harmed,g harmed,negative
what an amazing day,what an amazing day,positive
it was only once for my big brother and i m done now,it was only once for my big brother and i m done now,neutral
good news finally finished my easactive workout that has been paused for hours bad news my resistance band is torn,good news finally finished my easactive workout that has been paused for hours bad news my resistance band is torn,neutral
well good morning all what a wonderful day in the neighborhood thanks for all those that are now following another this morning,well good morning all what a wonderful day in the neighborhood thanks for all those that are now following another this morning,positive
were amazing tonight,were amazing tonight,positive
hope,hope,positive
it hurts too much,it hurts too much,positive
i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says,i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says,neutral
hell yeah,hell yeah,neutral
him shirt at dinner do you need to ask does it actually have ville on it,him shirt at dinner do you need to ask does it actually have ville on it,neutral
i know,i know,neutral
huh what the smelly noooo i love alex vixon,huh what the smelly noooo i love alex vixon,neutral
great,great,positive
happy,happy,positive
thank,thank,positive
happy,happy,positive
glad,glad,positive
thanks,thanks,positive
twittering after days,twittering after days,neutral
its too nice,its too nice,positive
depressed,depressed,negative
sick,sick,negative
happy mothers day people i love my mom a lot still,happy mothers day people i love my mom a lot still,positive
sorry,sorry,negative
he was soooo friendly,he was soooo friendly,positive
happy,happy,positive
is getting the hang of twitter,is getting the hang of twitter,neutral
you know your neck is jacked up when you are forced to pay for parking because you can t turn you head to parallel park in the free spaces,you know your neck is jacked up when you are forced to pay for parking because you can t turn you head to parallel park in the free spaces,negative
i want it back now,i want it back now,neutral
miss,miss,negative
bathing with two little angels keyla and janice,bathing with two little angels keyla and janice,neutral
chocked,chocked,negative
hahahha lol true that i always remember my bd but i can never remember what date or even day it is,hahahha lol true that i always remember my bd but i can never remember what date or even day it is,neutral
family is here hanging with them,family is here hanging with them,neutral
s gorgeous out,s gorgeous out,positive
m worried,m worried,negative
i am not bannished,i am not bannished,negative
morning if i get to see it i ll let you know right now i m going to go see wolverine,morning if i get to see it i ll let you know right now i m going to go see wolverine,neutral
red top tabloids build them up knock them down,red top tabloids build them up knock them down,neutral
tonight in party my girls minus vita,tonight in party my girls minus vita,positive
why not now you made me sad i thought you d be jumping for joy,why not now you made me sad i thought you d be jumping for joy,neutral
simple my a,simple my a,neutral
the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now,the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now,neutral
amazing,amazing,positive
glad,glad,positive
i have missed them,i have missed them,negative
that s what i want more the better bound to be a few bad eggs though but they will soon learn,that s what i want more the better bound to be a few bad eggs though but they will soon learn,neutral
hell yeah kellynn got a twitter finally,hell yeah kellynn got a twitter finally,neutral
as wort,as wort,positive
better,better,positive
ship i m stuck,ship i m stuck,negative
can not wait,can not wait,positive
shame,shame,negative
nan,nan,neutral
it looks like the office tv does get mlb network and it looks like mlbn will not be televising the game today wieters,it looks like the office tv does get mlb network and it looks like mlbn will not be televising the game today wieters,neutral
home empty handed no comics found today i shall now indulge in my cupcakes from magnolia bakery,home empty handed no comics found today i shall now indulge in my cupcakes from magnolia bakery,neutral
definitely pinched a nerve,definitely pinched a nerve,negative
exhausting,exhausting,negative
i was going to go on sunday but now i ve got too much going on that weekend,i was going to go on sunday but now i ve got too much going on that weekend,neutral
sorry,sorry,negative
i am sad it very hurts,i am sad it very hurts,negative
before i get too distracted i d like to thank my new followers for taking the trouble to follow me and to my others feelin the love,before i get too distracted i d like to thank my new followers for taking the trouble to follow me and to my others feelin the love,positive
i m broke,i m broke,negative
not sure it didn t say it was big i jst saw the pics of you on you are last birthday you looked so pretty i miss you,not sure it didn t say it was big i jst saw the pics of you on you are last birthday you looked so pretty i miss you,neutral
sore throat planning the tet outing to marwell though good times,sore throat planning the tet outing to marwell though good times,neutral
it was amazin,it was amazin,positive
now a migraine,now a migraine,negative
there,there,neutral
sucks,sucks,negative
when is the sway sway winner announced,when is the sway sway winner announced,neutral
k will check it out,k will check it out,neutral
doing pretty well,doing pretty well,positive
